"place","pop2023","growthRate","area","country","cca3","cca2","ccn3","region","subregion","landAreaKm","density","densityMi","Rank","avgCost","human","analog","rapid","rapidInt","short","shortInt","intm","long","rank"
840,339996563,0.00505,9372610,"United States","USA","US",840,"North America","Northern America",9147420,37.1686,96.2666,3,98.7,85.21,99.94,119.36,107.31,87.2,95.05,73.56,88.1,1
484,128455567,0.00746,1964375,"Mexico","MEX","MX",484,"North America","Central America, Latin America",1943950,66.0797,171.1463,10,16.48,9.45,18.91,14.3,15.92,12.21,16.87,8.57,20.54,3
392,123294513,-0.0053,377930,"Japan","JPN","JP",392,"Asia","Eastern Asia",364500,338.2566,876.0845,12,14.4,14.3,14.41,13.49,13.01,15.54,13.34,13.8,15.9,4
792,85816199,0.00557,783562,"Turkey","TUR","TR",792,"Asia","Western Asia, The Middle East",783562,109.5206,283.6584,18,2.64,1.97,2.66,2.39,2.63,2.14,1.74,1.83,2.95,32
276,83294633,-0.0009,357114,"Germany","DEU","DE",276,"Europe","Western Europe",349390,238.4002,617.4564,19,11,7.13,12.6,12.02,10.57,7.06,7.2,7.23,13.46,7
826,67736802,0.00338,242900,"United Kingdom","GBR","GB",826,"Europe","Northern Europe",241930,279.9851,725.1615,21,7.52,5.13,8.09,7.22,7,6.24,5.05,5.14,9.79,26
250,64756584,0.00201,551695,"France","FRA","FR",250,"Europe","Western Europe",547557,118.2646,306.3052,23,9.08,9.16,9.02,7.95,6.92,19.19,7.08,7.62,10.36,13
380,58870762,-0.00282,301336,"Italy","ITA","IT",380,"Europe","Southern Europe",295717,199.078,515.6121,25,10.03,6.88,10.07,7.69,7.25,6.34,10.36,10.18,13.47,9
724,47519628,-0.00082,505992,"Spain","ESP","ES",724,"Europe","Southern Europe",499556.6,95.1236,246.3702,32,9.04,6.04,9.32,7.37,7.39,6.85,5.78,5.81,10.71,14
616,41026067,0.02933,312679,"Poland","POL","PL",616,"Europe","Eastern Europe",306130,134.0152,347.0993,37,5.28,4.27,6.3,5.53,5.98,4.22,4.31,4.24,9.47,31
124,38781291,0.0085,9984670,"Canada","CAN","CA",124,"North America","Northern America",8965590,4.3256,11.2032,38,12,7.11,12.99,9.88,8.96,7.1,7.32,7.02,15.77,6
36,26439111,0.01,7692024,"Australia","AUS","AU",36,"Oceania","Australia and New Zealand",7692020,3.4372,8.9024,55,6.94,5.08,7.08,5.92,5.79,5.39,4.89,5.17,8.63,28
152,19629590,0.00132,756102,"Chile","CHL","CL",152,"South America","South America, Latin America",743532,26.4005,68.3772,65,21.48,17.77,21.99,15.01,14.94,16.57,25.47,17.92,26.19,2
